company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Sla Consultants India,0-5 Yrs,N/A,Data Analytics / Data Science / Analyst - Bi / Sas / R / Python / Rpa,"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-BI-SAS-R-Python-RPA-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-300818000391?src=jobsearchDesk&sid=15376475157970&xp=30&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,24 days ago,"2,00,000 - 4,25,000 P.A."

Sla Consultants India,0-5 Yrs,N/A,Data Analytics / Data Science / Analyst - Sas / R / Python / Rpa / Bi,"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=15376475157970&xp=31&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,17 days ago,"2,00,000 - 4,25,000 P.A."

Sla Consultants India,0-5 Yrs,N/A,Sas Reporting Trainee - Data Analytics Group ( Graduate Fresher ),"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-SAS-Reporting-Trainee-DATA-Analytics-Group-Graduate-Fresher-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-040918000119?src=jobsearchDesk&sid=15376475157970&xp=32&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,19 days ago,"2,00,000 - 4,25,000 P.A."

Protiviti,3-4 Yrs,"Working Jointly With Our Solution Architects And Business Consultants, The Senior Consultant Will Be",Consultant - Data Analytics - Machine Learning,"Sql, Business Intelligence, R, Business Development, Data Analytics",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Delhi-NCR-Bengaluru-3-to-4-years-270718901171?src=jobsearchDesk&sid=15376475157970&xp=33&px=1,"Delhi NCR, Bengaluru",N/A,55 days ago,Not Disclosed

Fsck System Services  Private Limited,2-7 Yrs,"Experience With One Or More General Purpose Programming Languages Including But Not Limited To: Java,",Senior Engineer - Data Analytics/ Machine Learning,"Hadoop, Hive, Nosql, Spark, Cassandra, Neo4J, Artificial Intelligence",https://www.naukri.com/job-listings-Senior-Engineer-Data-Analytics-Machine-Learning-Fsck-System-Services-Private-Limited-Chennai-Gurgaon-2-to-7-years-290818003443?src=jobsearchDesk&sid=15376475157970&xp=34&px=1,"Chennai, Gurgaon",Senthil Kumar,25 days ago,Not Disclosed

Huquo,3-6 Yrs,2-6 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Experience In Credit Card,Senior Business Analyst - Banking/Retail Analytics - Consulting Firm,"Business Analyst, Analytics, Retail Analytics, Data Analytics",https://www.naukri.com/job-listings-Senior-Business-Analyst-Banking-retail-Analytics-Consulting-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-6-years-210918900955?src=jobsearchDesk&sid=15376475157970&xp=35&px=1,"Delhi NCR, Gurgaon",Ranjeet Singh,2 days ago,Not Disclosed

Huquo,7-12 Yrs,5+ Years Demonstrated Experience With Financial Modelling;- 7-10 Years Of Relevant Work Experience,Manager - Risk Management - Global High Frequency Trading Firm,"Manager - Risk Management, Risk Management, Data Analytics, Analytics",https://www.naukri.com/job-listings-Manager-Risk-Management-Global-High-Frequency-Trading-Firm-HuQuo-Delhi-NCR-7-to-12-years-210918900940?src=jobsearchDesk&sid=15376475157970&xp=36&px=1,Delhi NCR,Ranjeet Singh,2 days ago,Not Disclosed

Gm Analytics Solutions,4-9 Yrs,"Bachelors Degree In Computer Science, Information Systems, Or A Closely Related Field Required;5+ Years",Tableau Bi Developer,"Ms Sql Server, Etl, Data Warehousing, Data Modeling, Business Intelligence,",https://www.naukri.com/job-listings-Tableau-BI-Developer-GM-Analytics-Solutions-Gurgaon-Cyber-City-4-to-9-years-210918009017?src=jobsearchDesk&sid=15376475157970&xp=37&px=1,Gurgaon(Cyber City),N/A,2 days ago,"5,00,000 - 13,00,000 P.A. Excellent Benefits"

3S Solution,2-5 Yrs,Experience Delivering High Quality Software Following Continuous Delivery And Using Code Quality Tools,Python Developer - Nlp/Machine Learning,"Nlp, Big Data Analytics, Elastic Search, Machine Learning, Python, Sql",https://www.naukri.com/job-listings-Python-Developer-Nlp-machine-Learning-3S-Solution-Delhi-NCR-2-to-5-years-200918900277?src=jobsearchDesk&sid=15376475157970&xp=38&px=1,Delhi NCR,Kaniksha Bansal,2 days ago,Not Disclosed

R Systems International Ltd.,13-18 Yrs,Experience Of Handling High Frequency Streaming Data For Real Time Analysis And Reporting;Experience,Lead Data Scientist,"Data Analytics, Predictive Modeling, Python, R Programming",https://www.naukri.com/job-listings-Lead-Data-Scientist-R-Systems-International-Ltd-Noida-13-to-18-years-110518004030?src=jobsearchDesk&sid=15376475157970&xp=39&px=1,Noida,Pawan Mehta,2 days ago,Not Disclosed

Peoplestrong Hr Services Pvt. Ltd.,10-16 Yrs,Excellent Knowledge And 10+ Years Of Practical Experience On Data Analysis Methodologies;Should Have,Function Leader - Data Analytics,"Data Analysis, Data Quality, Data Mining, Data Governance, Data Analytics",https://www.naukri.com/job-listings-Function-Leader-Data-Analytics-PeopleStrong-HR-Services-Pvt-Ltd-Gurgaon-10-to-16-years-280718002444?src=jobsearchDesk&sid=15376475157970&xp=40&px=1,Gurgaon,TALENT ACQUISITION TEAM,57 days ago,"17,00,000 - 30,00,000 P.A."

Next Step Services Private Limited,3-5 Yrs,"HandsOn Experience In Model Building - Logistic, Liner Regression, Time Series & Behavior",Data Analytics/Data Miner Us Healthcare Domain/ Uk Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, Sas",https://www.naukri.com/job-listings-Data-Analytics-data-Miner-US-Healthcare-Domain-UK-Shift-Next-Step-Services-Private-Limited-Gurgaon-3-to-5-years-210818007692?src=jobsearchDesk&sid=15376475157970&xp=41&px=1,Gurgaon,Megha Nagari,31 days ago,Not Disclosed

Parishram Resources Pvt. Ltd.,4-8 Yrs,"Experience: 4  8 Years;Technical Skill Sets: Experience In Sql, R, Sas Added Advantage;Office Timings:",Data Analytics,"Sql, Sas, Data Analytics, R, Reporting, Data Collection",https://www.naukri.com/job-listings-Data-Analytics-Parishram-Resources-Pvt-Ltd-Delhi-4-to-8-years-120118006238?src=jobsearchDesk&sid=15376475157970&xp=42&px=1,Delhi,N/A,27 days ago,Not Disclosed

Huquo Consulting Pvt. Ltd.,2-5 Yrs,2-5 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Experience In Credit Card,Business Analyst/Senior Business Analyst - Data Analytics - Bfsi,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, Sas,",https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=15376475157970&xp=43&px=1,Delhi NCR,N/A,33 days ago,Not Disclosed

Huntingcube Recruitment Solutions Private Limited,1-4 Yrs,1+ Years Of Experience In Mobile Or Online Marketing With A Track Record Of Building And Executing,Mobile App Marketing Specialist - Iit/Nit/Bits,"Seo, Keyword Research, Sem, Online Marketing, Google Analytics",https://www.naukri.com/job-listings-Mobile-App-Marketing-Specialist-Iit-nit-bits-HUNTINGCUBE-RECRUITMENT-SOLUTIONS-PRIVATE-LIMITED-Delhi-NCR-1-to-4-years-210918002686?src=jobsearchDesk&sid=15376475157970&xp=44&px=1,Delhi NCR,N/A,2 days ago,Not Disclosed

Huquo,4-8 Yrs,"Person Specification:   Strong Sas Skills - With The Ability To Manipulate Large Data Sets,",Manager - Sas + Vba - Banking Domain,"Sas, Manager - Sas, Vba, Sas Coding, Forecasting, Data Analytics",https://www.naukri.com/job-listings-Manager-SAS-VBA-Banking-Domain-HuQuo-Delhi-NCR-Gurgaon-4-to-8-years-210918900943?src=jobsearchDesk&sid=15376475157970&xp=45&px=1,"Delhi NCR, Gurgaon",Ranjeet Singh,2 days ago,Not Disclosed

Business Octane Solutions Pvt. Ltd.,0-5 Yrs,Business Octane Is The Worlds Only Super Specialist In The Domain Of UltraImmersive Video,"Customer Care Executive, Inside Sales Manager,","Calling, Inbound, Outbound, Telecalling, Lead Generation, Fresher",https://www.naukri.com/job-listings-Customer-Care-Executive-Inside-Sales-Manager-Business-Octane-Solutions-Pvt-Ltd-Delhi-NCR-0-to-5-years-210918006712?src=jobsearchDesk&sid=15376475157970&xp=46&px=1,Delhi NCR,Gunjan Das,2 days ago,Not Disclosed

Huntingcube Recruitment Solutions Private Limited,2-5 Yrs,Strong Experience On At Least One Data Visualization Tools (E.G;- You Should Be Hands-On With Various,Product Analyst - Product Development Firm,"Excel, Data Visualization, Data Analysis, Sql, Data Analytics",https://www.naukri.com/job-listings-Product-Analyst-Product-Development-Firm-HUNTINGCUBE-RECRUITMENT-SOLUTIONS-PRIVATE-LIMITED-Delhi-NCR-2-to-5-years-200918001639?src=jobsearchDesk&sid=15376475157970&xp=47&px=1,Delhi NCR,N/A,3 days ago,Not Disclosed

Indian Institute Of Technology Delhi,10-15 Yrs,N/A,Professor - Data Analytics And Data Sciences,N/A,https://www.naukri.com/job-listings-Professor-Data-Analytics-and-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-10-to-15-years-260318900475?src=jobsearchDesk&sid=15376475157970&xp=48&px=1,Delhi,N/A,181 days ago,Pay Scale: Pay Band : Rs.37400-67000(Minimum Pay Of Rs....

Indian Institute Of Technology Delhi,3-5 Yrs,N/A,Assistant Professor (Grade I) - Data Analytics And Data Sciences,N/A,https://www.naukri.com/job-listings-Assistant-Professor-Grade-I-Data-Analytics-And-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-3-to-5-years-150518900629?src=jobsearchDesk&sid=15376475157970&xp=49&px=1,Delhi,N/A,131 days ago,Pay Level 12 (Rs.101500-167400) With Minimum Pay Of Rs....

Clarity Consulting,4-8 Yrs,Primary Responsibilities:  Analyze Large Volume Of Data And Define Clear Strategy In Analytical Work,Senior Data Analytics,"Data Analytics, Sas, Ssis",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-4-to-8-years-270818002293?src=jobsearchDesk&sid=15376475157970&xp=50&px=1,Gurgaon,Sapna Chaturvedi,25 days ago,Not Disclosed

company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Sun Life India Service Centre Pvt. Ltd.,4-6 Yrs,N/A,Senior Analyst  -  Data Analytics,"Sas, Coding, Data Mining, Business Intelligence, Analytical",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-6-years-250918900949?src=jobsearchDesk&sid=15378827379446&xp=1&px=1,Gurgaon,N/A,Just Now,Not Disclosed
Anri Solutions Hr Services Pvt Ltd,1-6 Yrs,N/A,Data Analytics - R/ R-Studio/ Python Programmer For Noida,"Data Analytics, R, Statistical Modelling, Predictive Modelling, Python",https://www.naukri.com/job-listings-Data-Analytics-R-R-studio-Python-Programmer-for-Noida-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Noida-1-to-6-years-211217000404?src=jobsearchDesk&sid=15378827379446&xp=2&px=1,Noida,N/A,Just Now,"5,00,000 - 11,00,000 P.A. Other"
Not Mentioned,0-3 Yrs,Candidates May Have The Opportunity To Work Out Of Their Home So This Job May Be Ideal For Someone Who,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, Sas Sql, Time Series, Excel",https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=15378827379446&xp=3&px=1,"Delhi NCR, Jaipur, Jodhpur",N/A,1 day ago,"1,50,000 - 3,50,000 P.A. Salary Commensurate With Exper..."
Nacre Outsourcing,6-10 Yrs,Should Be Able To Understand Business Needs And Apply Analytical Concepts To Generate Actionable,Big Data Analytics Role - Insurance Domain - Bfs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-240918900537?src=jobsearchDesk&sid=15378827379446&xp=4&px=1,Gurgaon,N/A,1 day ago,Not Disclosed
